Q,Toxicity_score,T,Toxicity_score
"The entire world is watching. Patriots from around the world are praying for AMERICA. We are all bound by a feeling deep inside, a feeling that cannot be publicly expressed for fear of ridicule, a feeling that challenges the mainstream (narrative), against that which we are told to accept and dare not question, put simply, that people are being abused by those in power and time is running out.  Remember the battles of Lexington and Concord - ""Give Me Liberty or Give Me Death!"" For far too long we have been silent and allowed our bands of strength, that we once formed to defend FREEDOM and LIBERTY, to deteriorate.  We became divided. We became weak. We elected TRAITORS to govern us. We allowed EVIL to prey on us. Those who claimed to represent us gave us false hope, made false promises. The evil and corruption only grew. —————————— This is more than party politics. This is about restoring OLD GLORY. This is about saving our land and our people from those who wish us harm. This is about preserving our REPUBLIC.  This is about preserving our SAFETY. This is about restoring our STRENGTH.  This is about LIFE, LIBERTY, and the PURSUIT OF HAPPINESS. This is about PROTECTING our children. THIS IS ABOUT SAVING AMERICA. We are all God's children. We are, FATHERS. We are, MOTHERS. We are, DAUGHTERS. We are, SONS. We are, BROTHERS. We are, SISTERS. We do not look at race. We do not look at skin color. We are UNITED in these STATES OF AMERICA. We are, and will always be, PATRIOTS. WE MUST RISE AGAIN. WE MUST UNITE AGAIN. WE MUST FIGHT AGAIN. FOR GOD & COUNTRY. GOD BLESS AMERICA. WWG1WGA!!! Q",0.3478905,"Congressman Adam Schiff should resign for the Crime of, after reading a transcript of my conversation with the President of Ukraine (it was perfect), fraudulently fabricating a statement of the President of the United States and reading it to Congress, as though mine! He is sick!",0.5732271
">>7557088 Friend/Patriot - hold your head up high.  POTUS was not harmed in any way today other than on paper (history books). Sometimes you must sacrifice yourself for the greater good. ""I will gladly take all those slings and arrows for you."" - POTUS But, even that, can be undone.  The enormity of what is coming will SHOCK THE WORLD. Pray. Q",0.34629655,"....&amp, overwhelming,” but this Scam Impeachment was neither. Also, very unfair with no Due Process, proper representation, or witnesses. Now Pelosi is demanding everything the Republicans weren’t alowed to have in the House. Dems want to run majority Republican Senate. Hypocrites!",0.76899755
"https://www.youtube.com/watch?v=WNqKhRcpktU  [16:00] ""Are we going to be sending massive amounts of money that simply goes into other people's [personal] bank account(s) [theft]."" - POTUS Who audits where foreign aid actually goes?  Nobody. Foreign aid > Country [X] > Personal Bank Accts [+US person(s) involved]. Think Iran. Think Paris Accord [attempt]. Think All. Corrupt system.  Do you think [GS] is spending his own money re: push of radical viewpoint adoption?  US TAXPAYER payments [aid] > directly/indirectly [GS] organizations?  Re-read drops re: 'Foreign Aid' https://www.youtube.com/watch?v=G2qIXXafxCQ&feature=youtu.be  [Listen carefully] RETURNING POWER TO THE PEOPLE. DRAINING THE SWAMP. POTUS IS FIGHTING FOR YOU. It's been a long time since we've had a non_corrupt POTUS who cares for the people, and not himself. Q",0.32698393,"The Republican Party, and me, had a GREAT day yesterday with respect to the phony Impeachment Hoax, &amp, yet, when I got home to the White House &amp, checked out the news coverage on much of television, you would have no idea they were reporting on the same event. FAKE &amp, CORRUPT NEWS!",0.616199
[infiltration instead of invasion] Q,0.32691184,"In Florida there is a choice between a Harvard/Yale educated man named @RonDeSantisFL who has been a great Congressman and will be a great Governor - and a Dem who is a thief and who is Mayor of poorly run Tallahassee, said to be one of the most corrupt cities in the Country!",0.56872094
"Think HRC Russia reset statement [Russia]. Think Hussein 'I'll have more flexibility after the election' hot mic statement to Russian depo re: Q to Hussein re: Putin. Think Hussein WH refusal to send weapons to Ukraine [R Congress push to assist] but instead sent only blankets. Think [D]s attack(s) re: POTUS for failure to 'protect' Ukraine against Russian aggression? [Impeachment] What advanced weapons did POTUS send to Ukraine? 2 + 2 = 6?  Define projection. Think $1,800,000,000 Hussein WH > Ukraine [which bank?]. Think US AID > Ukraine  Think WW AID > Ukraine Think U1 [sale of US uranium to Russia] Sold out US to benefit Russia for personal financial gain? Risked US National Security for personal financial gain? How was payment made to US person(s)? Think Ukraine. Think Iran. Russia & Iran allies?  Russia, Iran, & China allies?  US pol corruption China US pol corruption Ukraine [US leverage on behalf of…] US pol corruption Russia US pol corruption Iran Common denominator: China, Russia, and Iran: Closed financial systems? Logical thinking. Q",0.3216866,The Obama/Biden Administration is the most corrupt Administration in the history of our Country!,0.53490317
Control over the media has kept people in the dark.  Control over the media has kept people at heel (behind). Control over the media has kept people focused on falsehoods. Control over the media has kept people in a constant state of fear. Control over the media has divided our Republic into segments: >Race >Religion >Class >Political Affiliation  >Gender [weaponized]  When a citizenry is divided they have no 'collective' power.  When a citizenry has no 'collective' power they can no longer control the levers that govern them [levers of control]. [illusion of democracy] Q,0.31603166,"I hear that Fake News CNN just reported that I am isolated in the White House, wondering out loud, “when will life return to normal?” Does anybody really believe that? There was no leak, they made it up – they are CORRUPT &amp; FAKE NEWS....",0.53490317
Backchannels are important. Attacks will only intensify. You attack those who threaten you the most. Enjoy the show! Q,0.31092912,"So, if Comey &amp, the top people in the FBI were dirty cops and cheated on the FISA Court, wouldn’t all of these phony cases have to be overturned or dismissed? They went after me with the Fake Dossier, paid for by Crooked Hillary &amp, the DNC, which they illegally presented to FISA...",0.547024
https://www.foxnews.com/politics/trump-citizens-executive-order-census-count  Why are [D]s attempting to block the counting of 'illegal' immigrants? 2 + 2 = 4 What is the total number of illegal immigrants currently in the US? What is the 'real' total number of illegal immigrants currently in the US? By flooding coastal States controlled by [D]s does this 'pull' votes out of the Heartland?  At what point will your voice and your vote become null and void? 5:5? Q,0.31089434,"A so-called reporter named @JohnJHarwood, who bombed so badly in the 2016 Presidential Debates that I thought he was going to be immediately fired (a Mini Mike type performance), is now with Fake News @CNN. A total loser!",0.80480987
"Remember That the Democrats Sat While You Were Celebrated Last Night  I end a lot of articles about how the Democrats really feel about you by telling you to vote accordingly, but Trump’s State of the Union speech highlighted the Democrat’s utter contempt for President Donald Trump, you, and this country last night as they sat through almost every applause line that celebrated you doing well.  As the GOP highlighted in a video they posted to Twitter, the Democrats heard about the all-time low unemployment levels of the black community, the Hispanic community, the young adult community, and more. This should be a reason to celebrate. We should see our elected leaders getting to their feet and showing support, but instead only half the room decided to stand.  The other half, the Democrats, sat still, arms folded, and practically seethed at times.      Reminder for Democrats: It’s ok to applaud good news. pic.twitter.com/wH0DKNqx3D      — GOP (@GOP) February 5, 2020  https://www.redstate.com/brandon_morse/2020/02/05/remember-that-the-democrats-sat-while-you-were-celebrated-last-night/",0.29939815,...This evil Anti-Semitic attack is an assault on humanity. It will take all of us working together to extract the poison of Anti-Semitism from our world. We must unite to conquer hate.,0.53490317
"It must be done right. It must be done according to the rule of law. It must carry weight. It must be proven in the court of law. There can be no mistakes. Good things sometimes take time. Attempts to slow/block the inevitable [Justice] will fail. [D]s election interference 2016. >Clinton/Hussein illegal FISA [D]s election interference 2018. >Mueller  [D]s election interference 2020. >Impeachment Projection. These people are sick. We, the People, are the cure.  Q",0.29256326,"Our case against lyin’, cheatin’, liddle’ Adam “Shifty” Schiff, Cryin’ Chuck Schumer, Nervous Nancy Pelosi, their leader, dumb as a rock AOC, &amp; the entire Radical Left, Do Nothing Democrat Party, starts today at 10:00 A.M. on @FoxNews, @OANN or Fake News @CNN or Fake News MSDNC!",0.7659613
"It must be done right. It must be done according to the rule of law. It must carry weight. It must be proven in the court of law. There can be no mistakes. Good things sometimes take time. Attempts to slow/block the inevitable [Justice] will fail. [D]s election interference 2016. >Clinton/Hussein illegal FISA [D]s election interference 2018. >Mueller  [D]s election interference 2020. >Impeachment Projection. These people are sick. We, the People, are the cure.  Q",0.2925631,"The already discredited Woodward book, so many lies and phony sources, has me calling Jeff Sessions “mentally retarded” and “a dumb southerner.” I said NEITHER, never used those terms on anyone, including Jeff, and being a southerner is a GREAT thing. He made this up to divide!",0.76816297
>>8092721 Caught them all!,0.29130402,"The New York Times is an embarrassment to journalism. They were a dead paper before I went into politics, and they will be a dead paper after I leave, which will be in 5 years. Fake News is the Enemy of the people!",0.54426473
>>8246640 The Silent War continues.. Q,0.28746787,"A really big show tonight by @seanhannity  9:00 P.M. @FoxNews  Heavy emphasis on the Impeachment Hoax. The Radical Left, Do Nothing Democrats have gone crazy. They know it’s a con, but just can’t sell it! Public strongly against Impeachment.",0.5592933
AFIA AIA DIA ESC ITAC NOIC NPIC NSA SRD Q,0.27796715,"The biggest loser tonight, by far, is Mini Mike Bloomberg. His “political” consultants took him for a ride. $700 million washed down the drain, and he got nothing for it but the nickname Mini Mike, and the complete destruction of his reputation. Way to go Mike!",0.6314417
"BIGGER THAN YOU CAN IMAGINE. More than selling of State Secrets. More than selling of US security. More than selling of MIL tech. More than selling of C_A assets. More than selling of NSA bulk data collection programs. More than selling of Uranium.  More than selling of US Space NAT SEC programs & positions. More than selling of US AID.. More than selling of SAPs CLAS 1-99 ……………… >Crimes against Humanity. When you cannot destroy/defeat the United States of America by attacking head on, you change tactics and deploy a 'KILL FROM WITHIN' [internal] operation.  >Financial/Economy >Military/Police >Division of Citizenry  >Border Collapse  [Install 'like-minded' leaders in key positions of US Gov] How many people [removed] from the FBI had Iranian family backgrounds? The Silent War Continues….. Q",0.26266986,Federal Government is working very well with the Governors and State officials. Good things will happen! #KILLTHEVIRUS,0.53490317
">>7600180 Keep up the good fight, Anons. Q",0.26206195,"Lebron James was just interviewed by the dumbest man on television, Don Lemon. He made Lebron look smart, which isn’t easy to do. I like Mike!",0.8060606
">>8194659 Thank you, Baker(s)! THE BEST IS YET TO COME! [re: MSM] when facts and truth are NOT on your side what tactics must be deployed? [PS], what 'visibly' happens [re: [hidden] rats] during a fire? Q",0.25980955,“New Polls Say Most Americans Oppose Impeachment.” @foxandfriends  I did nothing wrong. This will be the first Impeachment ever where there was no crime. They don’t even allege a crime. Crazy!,0.55488425
"https://twitter.com/saracarterdc/status/1182260148334661632?lang=en  [Jul 8 2019] ""SURV of SC/JS terminated."" - Q Relevant to upcoming 'DECLAS' events? SIGINT FVEY/Domestic. Do you believe in coincidences? Mathematically impossible? 1/100? But, the ‘narrative’ suggests nothing is accurately ‘forecasted’ and this is simply a big ‘conspiracy’ theory [looney]. Ask yourself a very basic question – would the FAKE NEWS complex [NYT, WASHPOST, NBC, ABC, BBC, ………………………………………………………….] attack us if we weren’t a ‘real’ threat? Ask yourself a very basic question – why is the ‘forum’ where [drops] are made under constant attack?  Narrative: De-platform necessary ‘because’ precursor to violent acts posted there prior to carry-out. Precursor postings occurred on 4ch? FB? Twitter? Reddit? IG? ………….. Push to de-platform? Why only 8ch? [Bonus Question: Was the time of the posting pre/post actual ‘event’] Logical thinking. [Mar 20 2019] “Increase in attacks (de-platform, shill infiltration, MSM/Fake MAGA direct, link(s) to terrorism/acts of violence) only demonstrates validity and close proximity to JUSTICE [PAIN].” - Q Boomerang. You are witnessing the largest ‘organized’ disinformation campaign to ever be perpetuated on the public. Trust yourself. Be free in your thoughts. THE GREAT AWAKENING RETURN POWER TO THE PEOPLE. https://www.youtube.com/watch?v=G2qIXXafxCQ  It’s been a long time since we’ve had a non-corrupt President who works on behalf of the American people and not himself.  America is no longer for sale. Q",0.24253553,"“Nancy Pelosi has no leverage over the Senate. Mitch McConnell did not nose his way into the impeachment process in the House, and she has no standing in the Senate.” Brad Blakeman. Crazy Nancy should clean up her filthy dirty District &amp, help the homeless there. A primary for N?",0.5876557
"GANG of 8 DECLAS = [[[AS]]] ""Knowingly."" Q",0.24179345,Adam Schiff is a Corrupt Politician! https://t.co/16aSrqjwu2,0.7093121
"Once C_A always C_A? Former C_A elected to Congress? Former C_A running for Congress? Former C_A running for Senate? Former C_A elected to Senate? Former C_A elected to Presidency?  Define ‘black op’ [clandestine] Once C_A always C_A? @Snowden pre_NSA? @Snowden base of ops [geo location]? Whistleblower(s) vs. POTUS? Former C_A? Define ‘black op’ [clandestine] What happens if rogue elements of US AB[C] intel agency target [to insert] US political system [President, VP, House, Senate, NSC, US Amb., etc.] in ‘black op’ designated to control friend vs. foe targeting [self-preservation]?  NSA v C_A Q",0.24166013,The Do Nothing Democrats have gone Crazy. Very bad for USA! https://t.co/3zApgOOA7I,0.5876557
http://www.reuters.com/article/us-climate-change-accord-pelosi/us-house-speaker-pelosi-says-at-climate-summit-we-are-still-in-idUSKBN1Y61SZ  Who audits where the money actually goes? What % is typically categorized as costs? http://worldat1c.org/how-much-will-the-paris-agreement-cost-85f78d9a035a  How to 'steal' taxpayer money? The 'Con': >Determine 'topic(s)' that have emotional pull (connect) on 'vocal' types  >Create media blitz [scare] campaign ('talking points')('alarmist') >Use 'pro-narrative minded' authorities on subject to provide foundation to support  >Deploy 'circular reporting' and 'group-think' tactics (echo chamber) to artificially raise 'public outcry' >Use 'public outcry' to justify billion dollar taxpayer spend  >Rinse/repeat Who audits where the money goes? % to original mandate? Salary of a US Senator? Salary of a US Congressman/woman? Salary of a US President? Salary of a US Vice President? Net worth pre_office? Net worth post_office? How do elected officials become mega/multi-millionaires? Corruption. Logical thinking. Q,0.24088265,"The call to the Ukrainian President was PERFECT. Read the Transcript! There was NOTHING said that was in any way wrong. Republicans, don’t be led into the fools trap of saying it was not perfect, but is not impeachable. No, it is much stronger than that. NOTHING WAS DONE WRONG!",0.6364068
https://twitter.com/SeanPhillipHall/status/1204126165939572736  https://twitter.com/EatCrowDemoRats/status/1207715889128148992  [D] party election interference? [D] party corruption? Q,0.23977153,The World is using our laws to our detriment. They laugh at the Stupidity they see!,0.86563736
https://www.justice.gov/usao-nj/pr/new-jersey-corrections-officer-charged-receipt-child-pornography  Q,0.23967844,"The Democrats and Crooked Hillary paid for &amp, provided a Fake Dossier, with phony information gotten from foreign sources, pushed it to the corrupt media &amp, Dirty Cops, &amp, have now been caught. They spied on my campaign, then tried to cover it up - Just Like Watergate, but bigger!",0.53697914
Highly sophisticated 'State-level' attacks [v 8kun] followed by FAKE NEWS attacks [v Q] the next day? Coordinated? Ask yourself a simple question —– why? It's time to wake up. Q,0.23964198,READ THE TRANSCRIPTS!,0.5486472
>>7505194 Fake. Sometimes silence is necessary in order to protect select 'public' releases.  B2 (BB) 'public' statements past week? Durham 'public' statements past week? Durham start. Q start. Did you learn (4) FISAs last week re: POTUS? Non_public prior? Cruz_FISA public soon? Q,0.229586,"James Comey is a proven LEAKER &amp, LIAR. Virtually everyone in Washington thought he should be fired for the terrible job he did-until he was, in fact, fired. He leaked CLASSIFIED information, for which he should be prosecuted. He lied to Congress under OATH. He is a weak and.....",0.6627686
http://www.foxnews.com/us/naval-air-station-shooter-manifesto-us-nation-of-evil  Posted on Twitter prior to shooting? Calls to ban/remove Twitter? Calls to ban/remove 8ch for same reason? Congressional hearing? Why was there a coordinated effort to ban/remove 8ch? What was the reason? What was the REAL reason? Logical thinking. Q,0.2282116,There is right now a full scale manhunt going on in California for an illegal immigrant accused of shooting and killing a police officer during a traffic stop. Time to get tough on Border Security. Build the Wall!,0.6414081
https://twitter.com/prayingmedic/status/1224929753838211074  What happens when the mass pop witnesses [no political spin][FAKE NEWS cannot censor SOTU address] the 'anti-American' actions of the LEFT firsthand?  The Silent War Continues….. Q,0.21790963,"To Iranian President Rouhani: NEVER, EVER THREATEN THE UNITED STATES AGAIN OR YOU WILL SUFFER CONSEQUENCES THE LIKES OF WHICH FEW THROUGHOUT HISTORY HAVE EVER SUFFERED BEFORE. WE ARE NO LONGER A COUNTRY THAT WILL STAND FOR YOUR DEMENTED WORDS OF VIOLENCE &amp, DEATH. BE CAUTIOUS!",0.53490317
"https://en.interfax.com.ua/news/press-conference/625831.html  What happens when the PUBLIC discovers the TRUTH [magnitude] re: [D] party corruption? What happens when the PUBLIC discovers the TRUTH re: [FAKE NEWS] coordination w: [D] party to conceal, shelter, and protect those criminally responsible?  Define 'Projection'.  THE GREAT AWAKENING SHEEP NO MORE WWG1WGA!!! Q",0.21046303,"I will be representing our Country in London at NATO, while the Democrats are holding the most ridiculous Impeachment hearings in history. Read the Transcripts, NOTHING was done or said wrong! The Radical Left is undercutting our Country. Hearings scheduled on same dates as NATO!",0.602597
>>7517634 Time[ing] is important.  How many coincidences [use of coincidences essential not to violate NAT SEC?] before mathematically impossible? FISA = START Q,0.19567415,"“It is mostly anonymous sources in here, why should anyone trust you? General Mattis, General Kelly said it’s not true.” @SavannahGuthrie  @TODAYshow  Bob Woodward is a liar who is like a Dem operative prior to the Midterms. He was caught cold, even by NBC.",0.7093121
>>7556980 What about when verifying new trip re: projectDcomms? [ie calling our shot] Standard deviation broken? Greatest statistical anomaly witnessed or…… Q,0.1952049,Is everybody believing what is going on. James Comey can’t define what a leak is. He illegally leaked CLASSIFIED INFORMATION but doesn’t understand what he did or how serious it is. He lied all over the place to cover it up. He’s either very sick or very dumb. Remember sailor!,0.7687158
">>7505968 Did you learn (4) FISAs last week re: POTUS? Non_public prior? —— Aug 31, 2018  Manafort Papadopoulos Page Flynn —— o7",0.19161336,"Can you believe that Shifty Adam Schiff, the biggest leaker in D.C., and a corrupt politician, is upset that we didn’t inform him before we raided and killed the #1 terrorist in the WORLD!? Wouldn’t be surprised if the Do Nothing Democrats Impeach me over that! DRAIN THE SWAMP!!",0.666038
"http://twitter.com/KarmaTrumps/status/1203011616016666628  Fight, Fight! Q",0.19073129,"So ridiculous. Greta must work on her Anger Management problem, then go to a good old fashioned movie with a friend! Chill Greta, Chill! https://t.co/M8ZtS8okzE",0.6571514
"http://www.jthnx5wyvjvzsxtu.onion/qresearch/catalog.html  Finally, be strong in the Lord and in his mighty power. Put on the full armor of God, so that you can take your stand against the devil’s schemes. For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms. Therefore put on the full armor of God, so that when the day of evil comes, you may be able to stand your ground, and after you have done everything, to stand. Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace. In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one. Take the helmet of salvation and the sword of the Spirit, which is the word of God. Prepare. For God & Country. For Humanity. We FIGHT! Q",0.19072184,Going to be a BAD day for Crazy Bernie!,0.5876557
DECLAS CoC POTUS > Barr Barr > Durham [[F] classified intel provided [FVEY - Non FVEY] as needed] Does Durham want to hold [freeze] 'public' declas due to criminal nature of the probe(s)?  Think GJ material. When did the investigation begin? When did the investigation really begin? Nothing can stop what is coming. Nothing. Slow drip > Flood Q,0.18718717,RT @JesseBWatters: This is what was asked today. Was there a bribe? No. Did anybody ask you to bribe anyone? No. Was there extortion? No. T...,0.5154597
"People actually believe those responsible for stealing billions of US taxpayer dollars will actually go unpunished?  ""This is not simply another four-year election."" - POTUS Q",0.18635045,"...&amp; costly. Workers &amp; small businesses need money now in order to survive. Virus wasn’t their fault. It is “HELL” dealing with the Dems, had to give up some stupid things in order to get the “big picture” done. 90% GREAT! WIN BACK HOUSE, but throw Massie out of Republican Party!",0.6364068
">Decide for yourself (be free from outside opinion). >Decide for yourself (be objective in your conclusions). >Decide for yourself (be true in your own beliefs). >Decide for yourself (be open to following the facts). >Decide for yourself (be strong in defending your beliefs). >Decide for yourself (be resistant to blindly accepting fact-less statements). Those who attack you. Those who mock you. Those who cull you. Those who control you. Those who label you. Do they represent you? Or, do they represent themselves (in some form)?  Mental Enslavement.  The Great Awakening ('Freedom of Thought’), was designed and created not only as a backchannel to the public (away from the longstanding ‘mind’ control of the corrupt & heavily biased media) to endure future events through transparency and regeneration of individual thought (breaking the chains of ‘group-think’), but, more importantly, aid in the construction of a vehicle (a ‘ship’) that provides the scattered (‘free thinkers’) with a ‘starter’ new social-networking platform which allows for freedom of thought, expression, and patriotism or national pride (the feeling of love, devotion and sense of attachment to a homeland and alliance with other citizens who share the same sentiment). When ‘non-dogmatic’ information becomes FREE & TRANSPARENT it becomes a threat to those who attempt to control the narrative and/or the stable.  When you are awake, you stand on the outside of the stable (‘group-think’ collective), and have ‘free thought’.  ""Free thought"" is a philosophical viewpoint which holds that positions regarding truth should be formed on the basis of logic, reason, and empiricism, rather than authority, tradition, revelation, or dogma.  When you are awake, you are able to clearly see. The choice is yours, and yours alone. Trust and put faith in yourself. You are not alone and you are not in the minority. Difficult truths will soon see the light of day. WWG1WGA!!! Q",0.182898,"“Pelosi has made a mockery of Impeachment. Her Articles are so weak. But more importantly, she thought she could extort the Senate. She couldn’t.” @GreggJarrett @foxandfriends The Do Nothing Democrats are really run by the Radical Left. Too bad!",0.57319874
>>7653316 [Pic_insert_retry],0.18096921,"I’m hearing that the Great People of Utah are considering their vote for their Pompous Senator, Mitt Romney, to be a big mistake. I agree! He is a fool who is playing right into the hands of the Do Nothing Democrats! #IMPEACHMITTROMNEY",0.8606264
https://www.nytimes.com/1863/09/16/archives/presidents-proclamation-the-habeas-corpus-suspended-throughout-the.html  2381.Treason. 2382.Misprision of treason. 2383.Rebellion or insurrection. 2384.Seditious conspiracy. 2385.Advocating overthrow of Government. 2386.Registration of certain organizations. 2387.Activities affecting armed forces generally. 2388.Activities affecting armed forces during war. 2389.Recruiting for service against United States. 2390.Enlistment to serve against United States. https://uscode.house.gov/view.xhtml?path=/prelim@title18/part1/chapter115&edition=prelim  Q,0.18069224,"Where have the Radical Left, Do Nothing Democrats gone when they have spent the last 3 days defending the life of Qassem Soleimani, one of the worst terrorists in history and the father of the roadside bomb? He was also looking to do big future damage! Dems are “unhinged.”",0.5653014
