Q,Toxicity_score,T,Toxicity_score
"https://2009-2017.state.gov/documents/organization/119629.pdf  Insurgency can be defined as ‘the organized use of subversion and violence to seize, nullify, or challenge political control of a region.’ Insurgents seek to subvert or displace the government and completely or partially control the resources and population of a given territory. They do so through the use of force (including guerrilla warfare, terrorism and coercion/intimidation), propa- ganda, subversion and political mobilization. Insurgents fight government forces only to the extent needed to achieve their political aims: their main effort is not to kill counterinsurgents, but rather to establish a competitive system of control over the population, making it impossible for the government to administer its territory and people. Insurgent activity is therefore designed to weaken government control and legitimacy while increasing insurgent control and influence. Insurgents require supporters, recruits, safe havens, money, supplies, weapons and intelligence on government actions. A robust insurgency can be waged with the support of just a small percentage of a given population. NEXT: Counterinsurgency may be defined as ‘comprehensive civilian and military efforts taken to simultaneously defeat and contain insurgency and address its root causes’. Q",0.07578416,https://t.co/qD52HYuvpH,0.08030488
"I know we're beyond the need for Q proofs, but…  Q post May 30, 2020 POTUS tweet May 31, 2020",0.037958473,MN Gov. Walz: We Estimate 80% of the Rioters Are from out of State https://t.co/WNRFjZA2Lu via @BreitbartNews,0.0769241
>>9394869 https://twitter.com/IngrahamAngle/status/1267118003663093760  Keyword: Insurgency Q,0.030177066,"Hopefully a great, successful and safe ROCKET LAUNCH. Lifting off soon!?!?  @FoxNews  @OANN",0.092261836
https://twitter.com/bvoice_p/status/1266869413690535936  On the ready. God save America. Q,0.061089825,"80% of the RIOTERS in Minneapolis last night were from OUT OF STATE. They are harming businesses (especially African American small businesses), homes, and the community of good, hardworking Minneapolis residents who want peace, equality, and to provide for their families.",0.039848328
Insurrection Act of 1807. [Determination that the various state and local authorities are not up to the task of responding to the growing unrest] Call the ball. Q,0.06555229,"Much more “disinformation” coming out of CNN, MSDNC, @nytimes and @washingtonpost, by far, than coming out of any foreign country, even combined. Fake News is the Enemy of the People!",0.24261543
https://www.nbcnews.com/politics/justice-department/fbi-s-top-lawyer-dana-boente-ousted-amid-fox-news-n1219721  Update the list. Q,0.082123175,"Crossing State lines to incite violence is a FEDERAL CRIME! Liberal Governors and Mayors must get MUCH tougher or the Federal Government will step in and do what has to be done, and that includes using the unlimited power of our Military and many arrests. Thank you!",0.12157279
https://twitter.com/DailyCaller/status/1266798202185043970  Be vigilant. Q,0.030427217,"Here we go again. Fake News @CNN is blaming RUSSIA, RUSSIA, RUSSIA. They are sick losers with VERY bad ratings! P.S. Can’t blame China because they need the cash?",0.80245125
https://twitter.com/MattFinnFNC/status/1266780532681199622  Humanity at its finest. Q,0.061542384,It’s ANTIFA and the Radical Left. Don’t lay the blame on others!,0.18293332
Anti-American? Domestic terrorists? Organized? Fascists? Extreme Radical(s)? Violent? POTUS action coming. Homeland Security _FBI_DOJ action coming. Investigations may lead to [D][F] 'support' targets. Q,0.53490317,"Mayor Jacob Frey of Minneapolis will never be mistaken for the late, great General Douglas McArthur or great fighter General George Patton. How come all of these places that defend so poorly are run by Liberal Democrats? Get tough and fight (and arrest the bad ones). STRENGTH!",0.2820649
"https://2009-2017.state.gov/documents/organization/119629.pdf  Irregular warefare. Insurgency. Insurgency is the organized use of subversion and violence to seize, nullify or challenge political control of a region. As such, it is primarily a political struggle, in which both sides use armed force to create space for their political, economic and influence activities to be effective. Insurgency is not always conducted by a single group with a centralized, military-style command structure, but may involve a complex matrix of different actors with various aims, loosely connected in dynamic and non-hierarchical networks. To be successful, insurgencies require charismatic leadership, supporters, recruits, supplies, safe havens and funding (often from illicit activities). They only need the active support of a few enabling individuals, but the passive acquiescence of a large proportion of the contested population will give a higher probability of success. This is best achieved when the political cause of the insurgency has strong appeal, manipulating religious, tribal or local identity to exploit common societal grievances or needs. Insurgents seek to gain control of populations through a combination of persuasion, subversion and coercion while using guerrilla tactics to offset the strengths of government security forces. Their intent is usually to protract the struggle, exhaust the government and win sufficient popular support to force capitulation or political accommodation. Consequently, insurgencies evolve through a series of stages, though the progression and outcome will be different in almost every case. Location(s) [cities] loss-of-control? [D] controlled? Define 'stand down' [safe haven] order. Define 'organized' group. Coordination of 'organized' [& funded] group(s) in [D] controlled 'safe haven' cities across US [pre_knowledge to group(s)]? https://banks.house.gov/news/documentsingle.aspx?DocumentID=1548  https://fitzpatrick.house.gov/media-center/press-releases/fitzpatrick-condemns-antifa-and-political-violence  https://thehill.com/homenews/senate/454038-2-republican-senators-introduce-resolution-to-label-antifa-as-domestic  Thank you for playing. Have a Nice Day. Q",0.05670968,These are “Organized Groups” that have nothing to do with George Floyd. Sad!,0.1085003
>>9378157 'War[e]fare' misspelling unintentional.  On the move. Q,0.13882709,"The professionally managed so-called “protesters” at the White House had little to do with the memory of George Floyd. They were just there to cause trouble. The @SecretService handled them easily. Tonight, I understand, is MAGA NIGHT AT THE WHITE HOUSE???",0.29762903
"https://2009-2017.state.gov/documents/organization/119629.pdf  Irregular warefare. Insurgency. Insurgency is the organized use of subversion and violence to seize, nullify or challenge political control of a region. As such, it is primarily a political struggle, in which both sides use armed force to create space for their political, economic and influence activities to be effective. Insurgency is not always conducted by a single group with a centralized, military-style command structure, but may involve a complex matrix of different actors with various aims, loosely connected in dynamic and non-hierarchical networks. To be successful, insurgencies require charismatic leadership, supporters, recruits, supplies, safe havens and funding (often from illicit activities). They only need the active support of a few enabling individuals, but the passive acquiescence of a large proportion of the contested population will give a higher probability of success. This is best achieved when the political cause of the insurgency has strong appeal, manipulating religious, tribal or local identity to exploit common societal grievances or needs. Insurgents seek to gain control of populations through a combination of persuasion, subversion and coercion while using guerrilla tactics to offset the strengths of government security forces. Their intent is usually to protract the struggle, exhaust the government and win sufficient popular support to force capitulation or political accommodation. Consequently, insurgencies evolve through a series of stages, though the progression and outcome will be different in almost every case. Location(s) [cities] loss-of-control? [D] controlled? Define 'stand down' [safe haven] order. Define 'organized' group. Coordination of 'organized' [& funded] group(s) in [D] controlled 'safe haven' cities across US [pre_knowledge to group(s)]? https://banks.house.gov/news/documentsingle.aspx?DocumentID=1548  https://fitzpatrick.house.gov/media-center/press-releases/fitzpatrick-condemns-antifa-and-political-violence  https://thehill.com/homenews/senate/454038-2-republican-senators-introduce-resolution-to-label-antifa-as-domestic  Thank you for playing. Have a Nice Day. Q",0.05670968,"They professionally managed so-called “protesters” at the White House had little to do with the memory of George Floyd. They were just there to cause trouble. The @SecretService handled them easily. Tonight, I understand, is MAGA NIGHT AT THE WHITE HOUSE???",0.31089434
https://twitter.com/CBS_Herridge  Worth following [DECLAS designation(s)]. Q,0.021974685,"They professionally managed so-called “protesters” at the White House had little to do with the memory of George Floyd. They were just their to cause trouble. The @SecretService handled them easily. Tonight, I understand, is MAGA NIGHT AT THE WHITE HOUSE???",0.32187107
https://twitter.com/ODNIgov/status/1266461778126540800  Q,0.040967118,"....good practice.” As you saw last night, they were very cool &amp; very professional. Never let it get out of hand. Thank you! On the bad side, the D.C. Mayor, @MurielBowser, who is always looking for money &amp; help, wouldn’t let the D.C. Police get involved. “Not their job.” Nice!",0.079585254
Nobody escapes this. Q,0.103079446,"....have been greeted with the most vicious dogs, and most ominous weapons, I have ever seen. That’s when people would have been really badly hurt, at least. Many Secret Service agents just waiting for action. “We put the young ones on the front line, sir, they love it, and....",0.16030791
[Sample] https://twitter.com/nytpolitics/status/1266421573126406147  https://www.dailydot.com/debug/qanon-church-omega-kingdom-ministries/  Fear. Panic. Loss of narrative control. You are the news now. Q,0.059693493,"Great job last night at the White House by the U.S. @SecretService. They were not only totally professional, but very cool. I was inside, watched every move, and couldn’t have felt more safe. They let the “protesters” scream &amp; rant as much as they wanted, but whenever someone....",0.189463
https://twitter.com/JoeBiden/status/1187829299207954437  Coincidence or foreknowledge? Q,0.05370245,"....got too frisky or out of line, they would quickly come down on them, hard - didn’t know what hit them. The front line was replaced with fresh agents, like magic. Big crowd, professionally organized, but nobody came close to breaching the fence. If they had they would....",0.11092074
https://www.foxnews.com/politics/trump-signs-executive-order-on-social-media-companies  @Jack You were warned. Q,0.11701669,Time for a change! #2020 https://t.co/AECy2GBfys,0.055492982
https://twitter.com/Wyn1745/status/1266006071413374978  Information Warfare. Q,0.023227226,https://t.co/mljmx2o0G7,0.06670977
https://www.breitbart.com/politics/2020/05/21/nursing-homes-residents-account-for-81-of-covid-19-deaths-in-minnesota-but-state-still-allows-facilities-to-admit-covid-19-positive-patients/  The truth is right in front of you. Q,0.102998994,"....It was spoken as a fact, not as a statement. It’s very simple, nobody should have any problem with this other than the haters, and those looking to cause trouble on social media. Honor the memory of George Floyd!",0.10945612
"USA total pop: 328 million  COVID-19 deaths: 100,000 [lockdown] Japan total pop: 126 million [condensed (island)] COVID-19 deaths: 850 [no lockdown] 2 + 2 = 5? Q",0.16013838,"Looting leads to shooting, and that’s why a man was shot and killed in Minneapolis on Wednesday night - or look at what just happened in Louisville with 7 people shot. I don’t want this to happen, and that’s what the expression put out last night means....",0.35901633
https://perry.house.gov/uploadedfiles/perry_calls_for_federal_investigation_5.14.20.pdf?  At what point should this be reclassified as murder? At what point is ignorance [common sense] no longer valid [excuse]? Evil surrounds us. Q,0.1874724,REVOKE 230!,0.16140433
https://www.nj.gov/health/healthfacilities/documents/CN/temp_waivers/HospitalDischarges_andAdmissions_toPost-AcuteCareSettings.pdf  At what point should this be reclassified as murder? At what point is ignorance [common sense] no longer valid [excuse]? Evil surrounds us. Q,0.17361544,The National Guard has arrived on the scene. They are in Minneapolis and fully prepared. George Floyd will not have died in vain. Respect his memory!!!,0.110607356
https://nypost.com/2020/04/23/nursing-homes-cant-reject-coronavirus-patients-cuomo-says/  At what point should this be reclassified as murder? At what point is ignorance [common sense] no longer valid [excuse]? Evil surrounds us. Q,0.18395756,The National Guard has been activated In Minneapolis. They have arrived on the seen. George Floyd will not have died in vain. Respect his memory!!!,0.09661791
https://townhall.com/columnists/larryoconnor/2020/05/28/michigans-hapless-governor-continues-deadly-covid19-nursing-home-policy-n2569605  At what point should this be reclassified as murder? At what point is ignorance [common sense] no longer valid [excuse]? Evil surrounds us. Q,0.19491227,CHINA!,0.24883658
Expanding on last drop: USA v Japan Apply: 43% of 100% [nursing home] [death]  CDC conflate 34-57% COVID-19 deaths data [include: pneumonia-influenza]? Avg pneumonia-influenza death(s) per season? Why is the data constantly changing [past]? Sometimes a wayback machine can find many easter eggs [CDC data then vs now]. Ignorance is a choice. Q,0.15098849,"“Regulate Twitter if they are going to start regulating free speech.” @JudgeJeanine @foxandfriends  Well, as they have just proven conclusively, that’s what they are doing. Repeal Section 230!!!",0.15772365
"Expanding on last drop:  USA v Japan Apply: https://www.forbes.com/sites/theapothecary/2020/05/26/nursing-homes-assisted-living-facilities-0-6-of-the-u-s-population-43-of-u-s-covid-19-deaths/#26ae4e9a74cd  ""Let that sink in: 42% of all COVID-19 deaths are taking place in facilities that house 0.62% of the U.S. population."" [nursing home(s)] Why did our 'nursing home' population suffer a direct hit re: COVID-19 deaths? NY & NJ GOV [order(s)] [push] COVID-19 positive elderly > nursing home(s)? USNS Comfort capacity? Hospital capacity? What other [D] GOV(s) mandated similar-same order(s)? Ask yourself a very simple question - was it known [common sense and [early] medical reports] elderly community most at risk? WHY WOULD [4] [D] GOVS PUSH COVID-19 [COV-2] INFECTED PATIENTS INTO [SAFE] NURSING HOMES? Ignorance is a choice. Q",0.1681268,"“The President has been targeted by Twitter.” @MariaBartiromo  What about all of the lies and fraudulent statements made by Adam Schiff, and so many others, on the Russian Witch Hunt Plus, Plus, Plus? What about China’s propaganda? WHO’s mistakes? No flags?  @foxandfriends",0.48405337
https://www.newsweek.com/japan-ends-coronavirus-emergency-850-deaths-no-lockdown-1506336  USA v Japan Reconcile. Critical thinking. Q,0.16503944,"Twitter is doing nothing about all of the lies &amp; propaganda being put out by China or the Radical Left Democrat Party. They have targeted Republicans, Conservatives &amp; the President of the United States. Section 230 should be revoked by Congress. Until then, it will be regulated!",0.31703737
'Quarantine' is when you restrict the movement of sick people. 'Tyranny' is when you restrict the movement of healthy people. Q,0.44350898,"....These THUGS are dishonoring the memory of George Floyd, and I won’t let that happen. Just spoke to Governor Tim Walz and told him that the Military is with him all the way. Any difficulty and we will assume control but, when the looting starts, the shooting starts. Thank you!",0.16951315
https://www.breitbart.com/health/2020/05/27/italy-96-of-coronavirus-fatalities-had-other-chronic-illnesses/  The more you know… Q,0.05502883,"I can’t stand back &amp; watch this happen to a great American City, Minneapolis. A total lack of leadership. Either the very weak Radical Left Mayor, Jacob Frey, get his act together and bring the City under control, or I will send in the National Guard &amp; get the job done right.....",0.24110176
"https://www.cbsnews.com/video/qanon-conspiracy-theorys-growing-influence-on-american-politics/#x  When do you expend ammunition? HRC direct attack re: Q? Why? 2,200+ [attack] MSDNC articles written/pushed in past 2 years? Control of narrative [threat]? Logical thinking. Information Warfare. Q",0.087661214,MAIL-IN VOTING WILL LEAD TO MASSIVE FRAUD AND ABUSE. IT WILL ALSO LEAD TO THE END OF OUR GREAT REPUBLICAN PARTY. WE CAN NEVER LET THIS TRAGEDY BEFALL OUR NATION. BIG MAIL-IN VICTORY IN TEXAS COURT TODAY. CONGRATS!!!,0.5154616
">>9332398 We hold these truths to be self-evident, that all men (& women) are created equal, that they are endowed by their Creator with certain unalienable Rights, that among these are Life, Liberty and the pursuit of Happiness. — That to secure these rights, Governments are instituted among Men (& Women), deriving their just powers from the consent of the governed, — That whenever any Form of Government becomes destructive of these ends, it is the Right of the People to alter or to abolish it, and to institute new Government, laying its foundation on such principles and organizing its powers in such form, as to them shall seem most likely to effect their Safety and Happiness. Prudence, indeed, will dictate that Governments long established should not be changed for light and transient causes; and accordingly all experience hath shewn that mankind are more disposed to suffer, while evils are sufferable than to right themselves by abolishing the forms to which they are accustomed. But when a long train of abuses and usurpations, pursuing invariably the same Object evinces a design to reduce them under absolute Despotism, it is their right, it is their duty, to throw off such Government, and to provide new Guards for their future security. —  Member this Q?",0.090105,.@Facebook CEO Mark Zuckerberg is today criticizing Twitter. “We have a different policy than Twitter on this. I believe strongly that Facebook shouldn’t be the arbiter of truth of everything that people say online.” Did Twitter criticize Obama for his “you can keep your Dr.”?,0.10170434
https://www.zerohedge.com/political/trumps-keyboard-warriors-get-story-while-legacy-media-ignores-obamagate  Intelligence was manipulated by [Brennan]. Watch the news. Q,0.09031833,https://t.co/ZjzQfVhTwZ,0.047697797
YOUR VOICE AND YOUR VOTE ARE WHAT MATTERS MOST. [WITNESSING] ATTEMPTS TO REMOVE BOTH. 1. CENSORSHIP [FASCISM][AUTHORITARIAN] 2. DEPLATFORM/REMOVAL [SILENCE] 3. MAIL-IN-VOTE FRAUD [DILUTE] [WATER DOWN] CONSTITUTIONAL RIGHTS? FREEDOM OF SPEECH? WILLFULLY BLIND OR WILLFULLY ACCEPTING? Q,0.33210367,https://t.co/mFzyzW74uY,0.07711032
https://www.foxnews.com/politics/cuomo-immunity-nursing-home-campaign-donation  https://www.foxnews.com/politics/new-york-health-website-deletes-cuomos-order-on-nursing-homes  http://web.archive.org/web/20200407103413/https://coronavirus.health.ny.gov/system/files/documents/2020/03/doh_covid19-_nhadmissionsreadmissions_-032520.pdf  If elderly most at risk [known][knowingly] why order COVID-19 positive patients back into nursing homes? Hospital capacity? USNS Comfort capacity? Ignorant [A] or deliberate [B]?  [Accountability] options outside [other than] ballot box? Q,0.24146035,https://t.co/FHDMd4jx78,0.056660365
"https://twitter.com/SpeakerPelosi/status/1265633731068518407  Was this ever about the health and well-being of people? Was this ever about the virus? Or, was this ALWAYS ABOUT THE ELECTION? Q",0.05246666,I’m proud to commit $40.9M in @USDOT funding to Milwaukee’s East-West Bus Rapid Transit project. Bringing modern transit to the region’s most critical corridor and spur millions in economic development. Love Wisconsin! @RideMCTS,0.080663025
https://www.washingtontimes.com/news/2020/may/21/australian-researchers-see-virus-design-manipulati/  Q,0.07720658,"Ogden, Utah, I am committing $64.5M to build bus service between Weber State University and McKay-Dee Hospital—very important services for Utahans! @RideUTA",0.06383649
>>9326604 we're in for one hell of a show,0.35471642,".@USDOT is committing $99.95M to @PGHtransit in Pennsylvania to connect Pittsburghers to their two largest commercial employment centers through safe, quick transit service. Great things coming to a great State!",0.055369314
"[D]s in coordination w/ [D]&[F] assets have launched [as known] a full-scale insurgency attack against the people of the United States in an effort to regain power by any means necessary. All assets deployed.  [Current landscape] coordinated and deliberate events to impact [rig] P_election. WAR. The future of our Republic is at stake. Survival as a Nation. We Rise or We Die. We, the People. Q",0.16723134,"MAX Red line in Oregon is set to receive $99.99M in @USDOT funds to reduce delays in the Portland area, connect citizens to very important locations, and make transit GREAT! @trimet",0.049414907
https://twitter.com/LilaGraceRose/status/1265430130274385922  These people are sick! Q,0.44817087,"I am proud to commit $60.9M in @USDOT funding to provide a BRAND NEW bus system for a very busy and popular transit corridor in the Albany, NY area—more help coming to the people of New York! @CDTA",0.05913836
https://twitter.com/onebigsister/status/1265460730322698243  These people are stupid. Q,0.8785311,Indiana is set to receive $100M in @USDOT transit funds for the @southshoreline to connect people to jobs around the State and the Chicago-area and help cut down on traffic. @GovHolcomb has worked very hard on this project!,0.06180905
>>9303289 Damn right Q. We're on course on glidepath. Anons are on it.,0.7426175,Big announcement for the State of Indiana! $77.5M committed in @USDOT funds for a “game-changing” transit project to provide fast and frequent service to the people of Indianapolis and Lawrence.,0.05600004
>>9303304 ILS approach looks good. Q,0.080855824,"I’m excited to commit $100M to @MiamiDadeCounty, FL in @USDOT funding to connect fast-growing communities through state-of-the-art transit service! Fast, safe, and beautiful infrastructure!",0.067288555
>>9303192 I'm sorry you had to explain that. This board isn't what it was.,0.15536559,.@USDOT is committing $21.8M for the FIRST transit project of this kind in the Tampa Bay region. It will connect St. Petersburg to popular beaches through state-of-the-art transit buses with FREE WiFi. Will be a major help to heavily populated parts of the Great State of Florida!,0.049012616
>>9303218 Popularity [growth] drives general (non-Autistic) expansion. The Hive-Mind is alive and well. Q,0.2417078,"Very exciting news for the Phoenix area—@USDOT is committing $100M to @valleymetro for a 5.5-mile light rail system with 9 new stations connecting underserved areas to churches, emergency services, and more!",0.025533903
">>9303046  ""Fear not, all will be well right after the election.""  Here we are.  Not ""All will be right after Durham"".  Q us quelling until the Democrats steal the election. What the fuck does the election have to do with justice?",0.828033,https://t.co/STCgxGezrQ,0.0552645
>>9303076 https://www.merriam-webster.com/dictionary/sarcasm  Re_read drops re: COVID-19 [virus] and the election. Last line should clarify:  Is this about the virus OR THE ELECTION? Q,0.09798028,https://t.co/JFXFOtfDGS,0.090433486
https://twitter.com/KattyKay_/status/1264697004233383936  Nobody is 'buying' what you are peddling [selling] any longer. THE MSDNC IS DEAD. https://www.youtube.com/watch?v=piTucCW_6Wo  Q,0.30512053,"So ridiculous to see Twitter trying to make the case that Mail-In Ballots are not subject to FRAUD. How stupid, there are examples, &amp; cases, all over the place. Our election process will become badly tainted &amp; a laughingstock all over the World. Tell that to your hater @yoyoel",0.82575774
Only when information [truth] becomes free [uncontrolled] will people awaken to the levers of control placed upon them.  Only then will people find the will to change. Only then will people regain control [power]. Q,0.06731004,"The men and women of the National Guard have been doing a great job fighting the CoronaVirus. This week, I will extend their Title 32 orders through mid-August, so they can continue to help States succeed in their response and recovery efforts.",0.06192685
"https://twitter.com/prageru/status/1264321458139852800  How do you change the narrative if facts are not on your side? How do you [con] the people? 1. Form Congressional Black Caucus [1971][compartmentalize-label] 2. Recruit and control Black Community Leaders [net worth (each)] 3. Alter[change]modify history in classroom(s) re: [D] party history 4. Use corporate DNC media [MSM] push con Use 1, 2, 3 and 4 to drive echo-chamber false [idiotic] narrative bad [pro slavery][D]s switched to [R] party and good [anti-slavery][R]s switched to [D] party. Welcome to the [D] party. Q",0.57409567,"Thank you to our GREAT Republican Congressmen &amp; Congresswomen on your incredibly important blockage last night of a FISA Bill that would just perpetuate the abuse that produced the Greatest Political Crime In the History of the U.S., the Russian Witch-Hunt. Fantastic Job!",0.35531038
"https://twitter.com/2020Qanon/status/1264661017721745414  Fear not, all will be well right after the election. Is this about the virus OR THE ELECTION? Q",0.06378332,"All over the World the CoronaVirus, a very bad “gift” from China, marches on. Not good!",0.192143
https://www.independent.co.uk/news/world/americas/us-politics/obama-china-india-world-leaders-meetings-summit-foundation-latest-a8080951.html  THE SHADOW PRESIDENCY. Q,0.14999174,"We have just reached a very sad milestone with the coronavirus pandemic deaths reaching 100,000. To all of the families &amp; friends of those who have passed, I want to extend my heartfelt sympathy &amp; love for everything that these great people stood for &amp; represent. God be with you!",0.0793952
https://www.theguardian.com/us-news/2017/may/24/trump-international-trip-barack-obama-europe-return  THE SHADOW PRESIDENCY. Q,0.07483926,This will be a Big Day for Social Media and FAIRNESS!,0.06717787
https://www.forbes.com/sites/thomasbasile/2014/01/31/obamas-weaponization-of-government/#143cf17a1b92  Worth remembering. Q,0.090966485,So many different viewpoints! https://t.co/DCesPbJu5M,0.03680528
https://dictionary.cambridge.org/dictionary/english/common-sense  -the basic level of practical knowledge and judgment that we all need to help us live in a reasonable and safe way Q,0.022700824,@USAttyHuber Whatever happen to John Huber?,0.089531876
Welcome to the shadow presidency of Barack Hussein Obama. Q,0.25247326,The greatest political crime in USA History! https://t.co/kyPZwHsBDQ,0.15043075
"Relevance re: [Susan Rice] 'top secret' [DECLAS] paragraph: “From a national security perspective, Comey said he does have some concerns that incoming NSA Flynn is speaking frequently with Russian Ambassador Kislyak. Comey said that could be an issue as it relates to sharing sensitive information. President Obama asked if Comey was saying that the NSC should not pass sensitive information related to Russia to Flynn. Comey replied ‘potentially.’"" What was really discussed during [Jan 5] meeting? [Hussein] order preventing sharing of intel re: Russia? Would such an order shield [Hussein] admin from discovery re: Obamagate?  Would such an order shield [Clinton] camp from discovery re: Clinton-DNC Russian collusion?  Would such an order be known to POTUS or CLASSIFIED? If CLASSIFIED how could it be discovered? NSA Mike Rogers _step down [retire] [date]? NSA Mike Rogers _TT [SCIF secure] [date]? [Brennan][Clapper][Carter] push to TERM _NSA Mike Rogers [date]? WASH POST: “The heads of the Pentagon and the nation’s intelligence community have recommended to President Obama that the director of the National Security Agency, Adm. Michael S. Rogers, be removed.The recommendation, delivered to the White House last month, was made by Defense Secretary Ashton B. Carter and Director of National Intelligence James R. Clapper Jr., according to several U.S. officials familiar with the matter.” HOW DO YOU CIRCUMVENT THE SHADOW INTEL COMM? https://theintercept.com/2017/12/04/trump-white-house-weighing-plans-for-private-spies-to-counter-deep-state-enemies/  Critical thinking _what did [Susan Rice] DECLAS [Jan 5] WH meeting reveal? RUSSIA INTEL HOLD HOW DO YOU ADD LAYERS OF PROTECTION? INSTALL A SPECIAL COUNSEL TO LOCK [FREEZE] EVERYTHING RE: RUSSIA? INSTRUCT AND COORD W: NSC [INTEL COMMUNITY] [SCHIFF ARMS LENGTH] TO INITIATE WHISTLEBLOWER ALLEGATIONS 1-9? INSTRUCT CONGRESS TO FILE ARTICLES OF IMPEACHMENT? COORD W: CHINA TO TERM ECON - UNEMPLOYMENT - GAINS, INITIATE LOCKDOWN DUE TO HEALTH CONCERNS, PUSH FEAR THROUGH DNC MEDIA, INSTRUCT GOVERNORS UNDER CONTROL TO ENACT VOTE-BY-MAIL? COINCIDENCE JAN 15 1. IMPEACHMENT ARTICLES DELIVERED TO SENATE [HELD] 2. CHINA PHASE 1 USA CLAWBACK DEAL SIGNED  3. 1ST COVID-19 CASE LANDED SEATTLE ALL ASSETS DEPLOYED. WIN BY ANY MEANS NECESSARY. EVERYTHING IS AT STAKE. Welcome to the Shadow Presidency of Barack H. Obama. Q",0.12286302,Yet she doesn’t let people even breath in Michigan. A very bad double standard! https://t.co/A60YxvWFGv,0.14625825
https://www.foxnews.com/media/trump-impeachment-inquiry-devin-nunes-state-dept-yovanovitch-strange-irregular-requests-monitor-press-journalists  Worth remembering [soon]. Q,0.0827195,Trump on Russia Hoax: ‘When the Papers Come Out’ We Will Learn Obama ‘Knew Everything’ https://t.co/cugnMv1RuO,0.10861193
https://twitter.com/tteegar/status/834440794375327744  Worth remembering. Q,0.02561887,Thank you Cowboys. See you in New Mexico! https://t.co/aCRJeskUA8,0.08176626
https://www.breitbart.com/politics/2020/05/21/doj-democrats-paid-pennsylvania-election-officials-to-stuff-ballot-box/  Welcome to the [D] party. Q,0.059460524,He looks better! https://t.co/qzxn6Svlpc,0.06248291
"How do you convince people a vaccine is necessary [critical]?  https://aspe.hhs.gov/cdc-—-influenza-deaths-request-correction-rfc  ""US data on influenza deaths are false and misleading. The Centers for Disease Control and Prevention (CDC) acknowledges a difference between flu death and flu associated death yet uses the terms interchangeably. Additionally, there are significant statistical incompatibilities between official estimates and national vital statistics data. Compounding these problems is a marketing of fear—a CDC communications strategy in which medical experts ""predict dire outcomes"" during flu seasons."" APPLY TO COVID-19 DATA REPORTS. Q",0.06783472,Thank you Lou! https://t.co/edjugpzH0i,0.025221176
